2023-09-28 17:33:19.565 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-09-28 17:33:23.731 [AMQP Connection 3.39.120.129:5672] INFO  v.v.d.s.i.ExchangeMessageServiceImpl(55) -  Message sent to Rabbit server successfully with deliveryTag: 2
2023-09-28 17:33:23.731 [AMQP Connection 3.39.120.129:5672] INFO  v.v.d.s.i.ExchangeMessageServiceImpl(55) -  Message sent to Rabbit server successfully with deliveryTag: 2
2023-09-28 17:33:23.731 [AMQP Connection 3.39.120.129:5672] INFO  v.v.d.s.i.ExchangeMessageServiceImpl(55) -  Message sent to Rabbit server successfully with deliveryTag: 2
2023-09-28 17:33:23.731 [AMQP Connection 3.39.120.129:5672] INFO  v.v.d.s.i.ExchangeMessageServiceImpl(55) -  Message sent to Rabbit server successfully with deliveryTag: 2
2023-09-28 17:33:23.731 [AMQP Connection 3.39.120.129:5672] INFO  v.v.d.s.i.ExchangeMessageServiceImpl(55) -  Message sent to Rabbit server successfully with deliveryTag: 2
2023-09-28 17:33:23.732 [AMQP Connection 3.39.120.129:5672] INFO  v.v.d.s.i.ExchangeMessageServiceImpl(55) -  Message sent to Rabbit server successfully with deliveryTag: 2
2023-09-28 17:33:23.732 [pool-7-thread-3] INFO  v.v.d.c.channel.ChannelFactory(62) -   Object Channel 17 is returning 
2023-09-28 17:33:23.732 [pool-7-thread-7] INFO  v.v.d.c.channel.ChannelFactory(62) -   Object Channel 14 is returning 
2023-09-28 17:33:23.732 [pool-7-thread-7] INFO  v.v.d.c.channel.ChannelPool(84) -   Quantity Channel is borrowed in Channel pool: 29
2023-09-28 17:33:23.732 [pool-7-thread-3] INFO  v.v.d.c.channel.ChannelPool(84) -   Quantity Channel is borrowed in Channel pool: 29
2023-09-28 17:33:23.732 [pool-7-thread-7] INFO  v.v.d.c.channel.ChannelFactory(58) -   Object Channel 14 is calling 
2023-09-28 17:33:23.732 [pool-7-thread-3] INFO  v.v.d.c.channel.ChannelFactory(58) -   Object Channel 17 is calling 
2023-09-28 17:33:23.733 [pool-7-thread-4] INFO  v.v.d.c.channel.ChannelFactory(62) -   Object Channel 15 is returning 
2023-09-28 17:33:23.733 [pool-7-thread-4] INFO  v.v.d.c.channel.ChannelPool(84) -   Quantity Channel is borrowed in Channel pool: 31
2023-09-28 17:33:23.733 [pool-7-thread-4] INFO  v.v.d.c.channel.ChannelFactory(58) -   Object Channel 15 is calling 
